OBJECTID,InspectDate,RecordUpdatedDate,SiteName,MineName,Mineral,County,Quadrangle,MineAcres,Directions,OlacRank,x,y,WaterName,WaterDescription,Basin,WaterAcres,DistanceMineWater
344,3/17/2006 7:00 PM,1/22/2018 7:00 PM,MRV156A_306,,MANGANESE,Augusta,Big Levels,0,"   Directions:  From 340 in Stuarts Draft, go south on 608.  Keep straight as it turns into 610, and take a right onto 660.  Take a left onto the Coal Road and continue until you reach the road near the site.  Nav to site.",C,-79,37.969,Unnamed tributary,"South Fork Shenandoah River from 5 miles above the Town of Shenandoah's raw water intake to its confluence with the North and South Rivers and its tributaries to their headwaters in this section, and the South River and its tributaries from its confluenc",Potomac-Shenandoah,0,0.7750
345,3/17/2006 7:00 PM,3/14/2016 8:00 PM,MRV156A_308,Kenedy Mine,MANGANESE,Augusta,Sherando,0,"   Directions:  From 340 in Stuarts Draft, go south on 608.  Keep straight as it turns into 610, and take a right onto 660.  Take a left onto the Coal Road and continue until you reach the road near the site.  Nav to site.",C,-78.997,37.97,Unnamed tributary,"South Fork Shenandoah River from 5 miles above the Town of Shenandoah's raw water intake to its confluence with the North and South Rivers and its tributaries to their headwaters in this section, and the South River and its tributaries from its confluenc",Potomac-Shenandoah,0,0.5693
346,3/17/2006 7:00 PM,1/22/2018 7:00 PM,MRV156A_304,,MANGANESE,Augusta,Big Levels,0,"     Directions:  From 340 in Stuarts Draft, go south on 608.  Keep straight as it turns into 610, and take a right onto 660.  Take a left onto the Coal Road and continue until you reach the road near the site.  Nav to site. ",C,-79.006,37.969,Unnamed tributary,Kennedy Creek from its confluence with the South River upstream including all named and unnamed tributaries.,Potomac-Shenandoah,0,0.5663
347,3/25/2006 7:00 PM,,MRV156A_602,,MANGANESE,Augusta,Big Levels,0,"  Going west on 340 from 64, take a left onto Ladd Rd.  Right on Mt. Torry Road. Turn right onto the Coal Road.  Park at trailhead near Orebank creek, walk SW down trail about 5 km. ",C,-79.005,37.943,Unnamed tributary,Mills Creek (Augusta County) from the South River Sanitary District's raw water intake (river mile 3.8) upstream including all named and unnamed tributaries.,Potomac-Shenandoah,0,0.6703
348,3/25/2006 7:00 PM,,MRV156A_603,,MANGANESE,Augusta,Big Levels,0,"  Going west on 340 from 64, take a left onto Ladd Rd.  Right on Mt. Torry Road. Turn right onto the Coal Road.  Park at trailhead near Orebank creek, walk SW down trail about 5 km. ",C,-79.004,37.943,Unnamed tributary,Mills Creek (Augusta County) from the South River Sanitary District's raw water intake (river mile 3.8) upstream including all named and unnamed tributaries.,Potomac-Shenandoah,0,0.6733
349,4/6/2006 8:00 PM,10/17/2017 8:00 PM,MRV171B_302,,GOLD,Orange,Lahore,1,From Dantun in Orange County take 651 north to left on Route 624 to right on route 619.  First farm road on right.  Mines are down this farm road.,C,-77.908,38.231,Unnamed tributary,"Free flowing portions of the Mattaponi and Pamunkey Rivers, free flowing tributaries of the Mattaponi above Clifton, and free flowing tributaries of the Pamunkey above Romancoke, unless otherwise designated in this chapter.",York,1,1.3199
350,4/6/2006 8:00 PM,,MRV171B_303,,GOLD,Orange,Lahore,1,From Dantun in Orange County take 651 north to left on Route 624 to right on route 619.  First farm road on right.  Mines are down this farm road..,C,-77.909,38.228,Unnamed tributary,"Free flowing portions of the Mattaponi and Pamunkey Rivers, free flowing tributaries of the Mattaponi above Clifton, and free flowing tributaries of the Pamunkey above Romancoke, unless otherwise designated in this chapter.",York,1,0.9811
351,4/6/2006 8:00 PM,10/17/2017 8:00 PM,MRV171B_304,Young Prospect,GOLD,Orange,Lahore,1,From Dantun in Orange County take 651 north to left on Route 624 to right on route 619.  First farm road on right.  Mines are down this farm road.,B,-77.911,38.224,Unnamed tributary,"Free flowing portions of the Mattaponi and Pamunkey Rivers, free flowing tributaries of the Mattaponi above Clifton, and free flowing tributaries of the Pamunkey above Romancoke, unless otherwise designated in this chapter.",York,1,0.5072
352,3/6/2006 7:00 PM,,MRV199A_304,,IRON,Page,Hamburg,1,Follow Route 675 out of Hamburg/Luray.  Follow the road over the Massanutten Mtn Ridge.  Follow until tight switchback in road and site is on the right side (east) less than 1/4 mile.,C,-78.518,38.721,Unnamed tributary,"South Fork Shenandoah River from its confluence with the North Fork Shenandoah River, upstream to a point 5 miles above the Town of Shenandoah's raw water intake and its tributaries to their headwaters in this section, unless otherwise designated in this",Potomac-Shenandoah,2,1.1695
353,3/6/2006 7:00 PM,,MRV199A_306,,IRON,Page,Hamburg,2,"  Follow Route 675 out of the the Shenandoah valley and across massanutten ridge to the Camp Roosevelt/George Washington National Park entrance.  Follow Northern trail through parking lot and up in the forest, site is about 1/4 mile in on the Northern trail.",C,-78.515,38.726,Unnamed tributary,"South Fork Shenandoah River from its confluence with the North Fork Shenandoah River, upstream to a point 5 miles above the Town of Shenandoah's raw water intake and its tributaries to their headwaters in this section, unless otherwise designated in this",Potomac-Shenandoah,2,1.4366
354,3/6/2006 7:00 PM,,MRV199A_307,,IRON,Page,Hamburg,4,"  Take 675 out of Luray and over the Masanutten Ridge.  Park at the entrance to the Camp Roosevelt Recreational Area and follow the Northeastern trail (first trail you encounter when you head up the gravel road)  Site is about 1/2 mile in on the trail, and you will encounter a variety of small features directly on the trail (adits, trenchs, small pits) and the main portion of the mine is to the north of these features and not far off the trail.",A,-78.515,38.725,Unnamed tributary,"South Fork Shenandoah River from its confluence with the North Fork Shenandoah River, upstream to a point 5 miles above the Town of Shenandoah's raw water intake and its tributaries to their headwaters in this section, unless otherwise designated in this",Potomac-Shenandoah,2,1.3423
355,4/1/2006 7:00 PM,,MRV156B_606,,IRON,Augusta,Vesuvius,1,Follow Route 608 NE out of Vesuvious Township and take till small road is encountered on the right (2.5-3 miles)  Follow road until you reach end of state maintanence sign and then walk up gravel road to the right of sign (SW direction)  All the sites are behind the houses.,C,-79.16,37.919,Unnamed tributary,"Maury River and its tributaries, unless otherwise designated in this chapter, from U.S. Route 60 upstream bridge to its headwaters (the confluence of the Calfpasture and Little Calfpasture Rivers).",James-Upper,0,0.9005
356,4/1/2006 7:00 PM,10/24/2023 8:00 PM,MRV156B_607,Black Rock Mine,IRON,Augusta,Vesuvius,2,Follow Route 608 NE out of Vesuvious Township and take till small road is encountered on the right (2.5-3 miles)  Follow road until you reach end of state maintanence sign and then walk up gravel road to the right of sign (SW direction)  All the sites are behind the houses.,C,-79.163,37.92,Unnamed tributary,"Maury River and its tributaries, unless otherwise designated in this chapter, from U.S. Route 60 upstream bridge to its headwaters (the confluence of the Calfpasture and Little Calfpasture Rivers).",James-Upper,0,0.8338
357,4/13/2006 8:00 PM,,MRV156B_623,,IRON,Augusta,Vesuvius,0," From Charlottesville, head west on I-64, then south on I81.  Get off onto route 11 heading south and then take a left onto route 56 east.  Then take a left onto 608 and then a right onto Pumpkin Drive Road in Augusta County.  Site 623 is located in the woods, up a fire trail southwest of Pumpking Drive Road. ",C,-79.162,37.919,Unnamed tributary,"Maury River and its tributaries, unless otherwise designated in this chapter, from U.S. Route 60 upstream bridge to its headwaters (the confluence of the Calfpasture and Little Calfpasture Rivers).",James-Upper,0,0.7851
358,4/13/2006 8:00 PM,,MRV156B_624,,IRON,Augusta,Vesuvius,0,"  From Charlottesville, head west on I-64, then south on I81.  Get off onto route 11 heading south and then take a left onto route 56 east.  Then take a left onto 608 and then a right onto Pumpkin Drive Road in Augusta County.  Site 624 is located in the woods, up a fire trail southwest of Pumpking Drive Road. ",C,-79.162,37.919,Unnamed tributary,"Maury River and its tributaries, unless otherwise designated in this chapter, from U.S. Route 60 upstream bridge to its headwaters (the confluence of the Calfpasture and Little Calfpasture Rivers).",James-Upper,0,0.7851
359,4/22/2006 8:00 PM,6/8/2015 8:00 PM,MRV152C_903,,GOLD,Fluvanna,Columbia,0," From Charlottesville, Virginia, take I-64 East toward Richmond.  Take exit #148 - VA605 toward Shannon Hill Road.  Take a right  and head down Shannon Hill Road for 10.5 miles until you reach Stage Junction.  Site 904 is located about a quarter mile south of  Stage Junction and a quarter mile into the woods, along a stream, next to a large farm. ",C,-78.149,37.785,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,0,0.4338
360,4/22/2006 8:00 PM,,MRV152C_904,,GOLD,Fluvanna,Columbia,0," From Charlottesville, Virginia, take I-64 East toward Richmond.  Take exit #148-VA605 toward Shannon Hill Road.  Take a right  and head down Shannon Hill Road for 10.5 miles until you reach Stage Junction.  Site 904 is located about a quarter mile south of  Stage Junction and a half mile into the woods, along a stream, next to a large farm. ",C,-78.143,37.785,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,0,0.4000
361,3/18/2006 7:00 PM,9/9/2014 8:00 PM,MRV156A_105,,IRON,Augusta,Big Levels,1," Follow the Coal Road out of Stuarts Draft and through GW National Forest.  Easily about 10 miles on the Old Coal Road, you will encounter a long straightaway and cross two intermenient streaems.  If you encounter the Tramway, go back about 1/2 mile.  ",C,-79.114,37.967,Unnamed tributary,"South Fork Shenandoah River from 5 miles above the Town of Shenandoah's raw water intake to its confluence with the North and South Rivers and its tributaries to their headwaters in this section, and the South River and its tributaries from its confluenc",Potomac-Shenandoah,1,2.7636
362,3/18/2006 7:00 PM,,MRV156A_106,,IRON,Augusta,Big Levels,1,"  Follow the Coal Road out of Stuarts Draft and through GW National Forest.  Easily about 10 miles on the Old Coal Road, you will encounter a long straightaway and cross two intermenient streaems.  If you encounter the old Tramway, go back about 1/2 mile.  ",C,-79.114,37.963,Unnamed tributary,"South Fork Shenandoah River from 5 miles above the Town of Shenandoah's raw water intake to its confluence with the North and South Rivers and its tributaries to their headwaters in this section, and the South River and its tributaries from its confluenc",Potomac-Shenandoah,1,2.5984
363,3/18/2006 7:00 PM,,MRV156A_107,,IRON,Augusta,Big Levels,1," Follow the Coal Road out of Stuarts Draft and through GW National Forest.  Easily about 10 miles on the Old Coal Road, you will encounter a long straightaway and cross two intermenient streaems.  If you encounter the Tramway, go back about 1/2 mile.  ",C,-79.112,37.962,Unnamed tributary,"South Fork Shenandoah River from 5 miles above the Town of Shenandoah's raw water intake to its confluence with the North and South Rivers and its tributaries to their headwaters in this section, and the South River and its tributaries from its confluenc",Potomac-Shenandoah,1,2.7376
364,3/18/2006 7:00 PM,,MRV156A_102,,IRON,Augusta,Big Levels,1,"  Follow the Coal Road out of Stuarts Draft and through GW National Forest.  Easily about 10 miles on the Old Coal Road, you will encounter a long straightaway and cross two intermenient streaems.  If you encounter the Tramway, go back about 1/2 mile.  Follow stream bed channel",A,-79.104,37.969,Unnamed tributary,Loves Run (Augusta County) from 2.7 miles above its confluence with the South River upstream including all named and unnamed tributaries.,Potomac-Shenandoah,0,2.1152
365,3/18/2006 7:00 PM,,MRV156A_103,,IRON,Augusta,Big Levels,1," Follow the Coal Road out of Stuarts Draft and through GW National Forest.  Easily about 10 miles on the Old Coal Road, you will encounter a long straightaway and cross two intermenient streaems.  If you encounter the Tramway, go back about 1/2 mile.  ",C,-79.104,37.969,Unnamed tributary,Loves Run (Augusta County) from 2.7 miles above its confluence with the South River upstream including all named and unnamed tributaries.,Potomac-Shenandoah,0,2.1152
366,2/18/2006 7:00 PM,,MRV152C_603,,IRON,Fluvanna,Columbia,0,Park near creek and follow pipeline to creek.  Follow creek and will encounter site,C,-78.144,37.81,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,1,0.6467
367,4/22/2006 8:00 PM,11/1/2016 8:00 PM,MRV152C_702,,GOLD,Fluvanna,Columbia,0,"  From Fork Union, go east on 652.  Take a left onto 654.  Park at the “end state maintenance” sign and continue walking down road.  There is a trail that leads to the site on the left about 200 meters down this road.  ",C,-78.227,37.762,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,0.5,1.0731
368,2/18/2006 7:00 PM,6/7/2015 8:00 PM,MRV152C_617,,GOLD,Fluvanna,Columbia,1,"Take Route 610 towards Fluvanna-Goochland county line.  After passing three houses and pipeline on the right side, you will see a large cleared field.  Park at this field (located about 1 mile before county line).  Head south across field, encounter creek.  Follow creek to the west and you will find where the creek forks.  The site 617 is located at the fork of the creek.   ",C,-78.132,37.825,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,1,0.2263
369,9/9/2006 8:00 PM,,MRV106D_105,,IRON,Campbell,Rustburg,0," At intersection of route 501 and 29 in lynchburg, take 501 south for roughly 5 miles.  Turn left onto route 632 (stevens road).  Go 4/10 mile, site 10 feet from the road on left hand side on wooded hill slope.",C,-79.1,37.344,Unnamed tributary,"James River and its tributaries, excluding Blackwater Creek, from Six Mile Bridge to the Business Route 29 bridge in Lynchburg.",James-Middle,0,0.8506
370,9/9/2006 8:00 PM,,MRV106D_104,,MANGANESE,Campbell,Rustburg,0," From 460 take route 501 South about three miles (stop just after you cross under a set of power lines).  On your right, less than 50 feet into the woods will be the beginning of the site.  Directly uphill from the main portion of the site is a set of smaller depressions.",C,-79.107,37.336,Unnamed tributary,"James River and its tributaries, excluding Blackwater Creek, from Six Mile Bridge to the Business Route 29 bridge in Lynchburg.",James-Middle,1,0.9096
371,9/9/2006 8:00 PM,,MRV106D_103,,MANGANESE,Campbell,Rustburg,0,"  From 460 take route 501 South about three miles (stop just after you cross under a set of power lines).  On the right (toward the west), will be a wooded area.  400-500 feet into the wooded area will be a series of small depressions. ",C,-79.108,37.337,Unnamed tributary,"James River and its tributaries, excluding Blackwater Creek, from Six Mile Bridge to the Business Route 29 bridge in Lynchburg.",James-Middle,1,0.8839
372,9/15/2006 8:00 PM,,MRV106D_408,,MANGANESE,Campbell,Rustburg,0," Head west on 460 until you reach 501.  Take 501 South about 4 miles, until you reach Beaver Creek.  Follow the creek northeast for about 3/4 mile, the site will be on your left (the north bank of the creek).",C,-79.094,37.328,Unnamed tributary,"James River and its tributaries, excluding Blackwater Creek, from Six Mile Bridge to the Business Route 29 bridge in Lynchburg.",James-Middle,1,2.0296
373,9/9/2006 8:00 PM,,MRV106D_405,,MANGANESE,Campbell,Rustburg,1," From Charlottesville, take US 29 S to Lynchburg.  take 501 S.  Turn R on route 670.  stop just before the railroad tracks.  walk S along railroad tracks for appx 100yds. site is down in dry stream bed on the left",C,-79.112,37.33,Unnamed tributary,"James River and its tributaries, excluding Blackwater Creek, from Six Mile Bridge to the Business Route 29 bridge in Lynchburg.",James-Middle,1,0.4596
374,9/29/2006 8:00 PM,3/29/2016 8:00 PM,MRV210C_306,,IRON,Shenandoah,Conicville,0,From Charlottesville go N on I 81.  Turn W on 42 at Woodstock exit.  Take Left on VA 675.  Go about 100 yds is before bend in the road.  Extends NW-SE between two neighbors yards.,C,-78.627,38.875,Unnamed tributary,"North Fork Shenandoah River from its confluence with the Shenandoah River to its headwaters, unless otherwise designated in this chapter.",Potomac-Shenandoah,0,0.8929
375,9/15/2006 8:00 PM,,MRV106D_216,,MANGANESE,Campbell,Rustburg,0," From 460 West take highway 662 South for about 4 miles, until it intersects with 660.  Just to the left (North) of 662, at the intersection, will be a wooded area, and the beginning of a cut should be visible from the road.",C,-79.056,37.354,Unnamed tributary,"James River and its tributaries, excluding Blackwater Creek, from Six Mile Bridge to the Business Route 29 bridge in Lynchburg.",James-Middle,0,0.7828
376,10/13/2006 8:00 PM,,MRV106D_303,,IRON,Campbell,Rustburg,1,Go South on 29 towards Lynchburg.  Take 460 E.  Then take a right off of 460 E onto the second entrance of Longwood Circle underneath the powerlines.  The site is located on the left side of the road.  Specifically the site is located just beyond the trail that extends behind the first house on Longwood Circle.,C,-79.039,37.369,Unnamed tributary,"James River and its tributaries, excluding Blackwater Creek, from Six Mile Bridge to the Business Route 29 bridge in Lynchburg.",James-Middle,1,0.1883
377,9/15/2006 8:00 PM,,MRV106D_217,,MANGANESE,Campbell,Rustburg,0," From 460 West, take highway 662 South until about 1/10 mile away from the intersection with 660.  The site is on the left side of the road (East), about 500 feet into the wooded area.",C,-79.055,37.355,Unnamed tributary,"James River and its tributaries, excluding Blackwater Creek, from Six Mile Bridge to the Business Route 29 bridge in Lynchburg.",James-Middle,0,0.8909
378,9/15/2006 8:00 PM,,MRV106D_218,,MANGANESE,Campbell,Rustburg,0," From 460 West, take highway 662 south until the intersection with 660.  The site is on the left side of the road (Northeast), about 1000 feet into the wooded area.",C,-79.054,37.354,Unnamed tributary,"James River and its tributaries, excluding Blackwater Creek, from Six Mile Bridge to the Business Route 29 bridge in Lynchburg.",James-Middle,0,0.7831
379,9/15/2006 8:00 PM,,MRV106D_219,,MANGANESE,Campbell,Rustburg,0," From 460 West, take highway 662 south for about 1.5 miles.  There will be an intersection with a private road (the entrance to a neighborhood).  The site is on your right (to the Northwest about 500 feet) in the wooded area in the nearest house's backyard.",C,-79.059,37.358,Unnamed tributary,"James River and its tributaries, excluding Blackwater Creek, from Six Mile Bridge to the Business Route 29 bridge in Lynchburg.",James-Middle,0,1.1619
380,10/7/2006 8:00 PM,,MRV200A_807,,ZINC,Rockingham,Timberville,0," Take route 881 northwest out of Timberville for 1.5 miles.  Site is on the corner of this road and Vetters Road, 10 feet from the edge.",C,-78.806,38.648,Unnamed tributary,"North Fork Shenandoah River from its confluence with the Shenandoah River to its headwaters, unless otherwise designated in this chapter.",Potomac-Shenandoah,0,0.4057
381,10/7/2006 8:00 PM,10/30/2023 8:00 PM,MRV200A_803,Bowers-Campbell Mine,ZINC,Rockingham,Timberville,17.6,Take route 881 northwest from Timberville for 1 mile.  Site is extensive and is in the area on the left as 881 has a sharp left 90 degree turn.,C,-78.792,38.661,Unnamed tributary,"North Fork Shenandoah River from its confluence with the Shenandoah River to its headwaters, unless otherwise designated in this chapter.",Potomac-Shenandoah,17.6,0.1891
382,10/21/2006 8:00 PM,,MRV106D_108,,IRON,Campbell,Rustburg,0," From 29/460 in Lynchburg, take 501 south for 5/6 mile.  Turn left onto route 666 and go 1.3 miles to railroad underpass.  To access site, follow tracks Northwest 400 yards.  Site is 100 yards to the west of the tracks in the small valley before the final ridge and railroad bridge.  ",C,-79.088,37.354,Unnamed tributary,"James River and its tributaries, excluding Blackwater Creek, from Six Mile Bridge to the Business Route 29 bridge in Lynchburg.",James-Middle,0,0.5645
383,10/13/2006 8:00 PM,,MRV106D_304,,IRON,Campbell,Rustburg,1,Take US29 south towards Lynchburg.  Then merge onto US460 east.  Turn right at the second entrance of Longwood Circle under the power lines.  The site is located on the left side of the road.  The best way to access the site is by way of the trail that runs adjacent to it.  From Longwood Circle take the trail on the left side of the road:  the site is about 300 ft on your right.  On the opposite side of the trail there is a barn.,C,-79.039,37.37,Unnamed tributary,"James River and its tributaries, excluding Blackwater Creek, from Six Mile Bridge to the Business Route 29 bridge in Lynchburg.",James-Middle,1,0.1073
384,11/4/2006 7:00 PM,,MRV106C_701,,IRON,Campbell,City Farm,0,Take Route 29 south from lynchburg.  Turn right onto route 683 and travel roughly 1 mile.  Site is on the left hand side of the road opposite where Pacoman Road intersects on the right.,C,-79.236,37.269,Unnamed tributary,"Tributaries to the Roanoke (Staunton) River from the headwaters of the John Kerr Reservoir to Leesville Dam, unless otherwise designated in this chapter.",Roanoke,0,0.8303
385,11/4/2006 7:00 PM,,MRV106C_712,,MANGANESE,Campbell,City Farm,0," From Lynchburg, take 29 South to 683.  Take 683 about 1 mile until Pacoman Road intersects on the right.  Take the old farm road on the left of this interesection for 1/2 mile until it opens into a field.  Where the road makes a 90 degree turn to the right across the field, there is a valley on the left.  Site is located 100 yards up the valley on the left slope.",C,-79.23,37.27,Unnamed tributary,"Tributaries to the Roanoke (Staunton) River from the headwaters of the John Kerr Reservoir to Leesville Dam, unless otherwise designated in this chapter.",Roanoke,0,0.8300
386,10/7/2006 8:00 PM,,MRV200A_806,,ZINC,Rockingham,Timberville,0," From US highway 81, take state road 263 east for about 6 miles until state road 42.  Take 42 south for about 12 miles to state road 269, adn take 269 east for a mile to 617.  Take 617 for .2 miles until 789.  Take 789 north for a mile and a half.  You will see a clearing on the right side of the road.  Walk straight through the open area to a fence, and straight from the fence about 150 feet to a large tailings pile.",C,-78.816,38.631,Unnamed tributary,"North Fork Shenandoah River and its tributaries from the Food Processors Water Coop, Inc. dam at Timberville and the Town of Broadway's intakes on Linville Creek and the North Fork Shenandoah to points 5 miles upstream.",Potomac-Shenandoah,0,0.9801
387,10/21/2006 8:00 PM,,MRV106D_215,,MANGANESE,Campbell,Rustburg,0,From 29S Turn S on 501.  Turn Left onto VA665.  VA 665 merges with VA660.  Follow VA660 to the large Powerlines.  Pull off Road and walk along railroad tracks W for appx 1/4 mile.  there will be an intersection of a private rd with the railroad tracks.  site is off in the woods ~150yds to your left at the intersection.,C,-79.06,37.35,Unnamed tributary,"James River and its tributaries, excluding Blackwater Creek, from Six Mile Bridge to the Business Route 29 bridge in Lynchburg.",James-Middle,0,0.3726
388,11/11/2006 7:00 PM,,MRV106D_204,,IRON,Campbell,Rustburg,1," From 460 headed E, you will pass by a reastaurant with a tree through it on your right.  turn right on on the next large gravel turn off and head up the road.  stay straight on the road to the top of the hill.  road will follow the crest of the hill.  a small copse of trees will be on your right.  site is in those trees about 50 ft from where the trees end and the pasture begins.",C,-79.061,37.374,Unnamed tributary,"James River and its tributaries, excluding Blackwater Creek, from Six Mile Bridge to the Business Route 29 bridge in Lynchburg.",James-Middle,1,1.7396
389,11/4/2006 7:00 PM,,MRV106C_602,,IRON,Campbell,City Farm,0," from 29S, turn L onto 738S.  Turn L onto VA 677 toward the N.  Turn R on the 3rd road to the right.  follow road to top of the hill and the gate.  site is on the left",C,-79.152,37.309,Unnamed tributary,"Tributaries to the Roanoke (Staunton) River from the headwaters of the John Kerr Reservoir to Leesville Dam, unless otherwise designated in this chapter.",Roanoke,0,0.7739
390,11/4/2006 7:00 PM,,MRV106C_601,,IRON,Campbell,City Farm,0," from 29S, turn L onto 738S.  Turn L onto VA 677 toward the N.  Turn R on the 3rd road to the right.  follow road to top of the hill and the gate.  site is on the left",C,-79.152,37.309,Unnamed tributary,"Tributaries to the Roanoke (Staunton) River from the headwaters of the John Kerr Reservoir to Leesville Dam, unless otherwise designated in this chapter.",Roanoke,0,0.7739
391,11/13/2006 7:00 PM,10/18/2017 8:00 PM,MRV158C_501-503,,IRON,Alleghany,Longdale Furnace,10,"   Take I-64W to Exit 35. Trun Right onto Rte 60, then left before old auto shop onto Craft Rd (777)",B,-79.689,37.824,Unnamed tributary,Simpson Creek from the junction of Route 776 and U. S. Route 60 upstream including all named and unnamed tributaries.,James-Upper,2,1.5639
392,11/14/2006 7:00 PM,10/18/2017 8:00 PM,MRV158C_602,,IRON,Alleghany,Longdale Furnace,1,Drive I-64W to Exit 35 Turn Left and drive under the overpass.   Turn Left onto Rte 770 Go appx 0.5 mi to right hand turn.   Go .2 mi and park.  Follow for serv road up mountain to site,C,-79.666,37.804,Unnamed tributary,Simpson Creek from the junction of Route 776 and U. S. Route 60 upstream including all named and unnamed tributaries.,James-Upper,2,1.4786
393,11/14/2006 7:00 PM,10/18/2017 8:00 PM,MRV158C_601,,IRON,Alleghany,Longdale Furnace,1,Drive I-64W to Exit 35 Turn Left and drive under the overpass.   Turn Left onto Rte 770 Go appx 0.5 mi to right hand turn.,C,-79.664,37.808,Unnamed tributary,Simpson Creek from the junction of Route 776 and U. S. Route 60 upstream including all named and unnamed tributaries.,James-Upper,2,1.2275
394,11/14/2006 7:00 PM,10/18/2017 8:00 PM,"MRV158C_505,508-510",,IRON,Alleghany,Longdale Furnace,2,Drive I-64W to Exit 35 Turn Left and drive under the overpass.   Turn Left onto Rte 770 Go appx 0.5 mi to right hand turn.   Drive ~0.75 mi on gravel FS road. Park and hike up Mt to site,B,-79.667,37.797,Unnamed tributary,Simpson Creek from the junction of Route 776 and U. S. Route 60 upstream including all named and unnamed tributaries.,James-Upper,2,2.1656
395,11/14/2006 7:00 PM,,MRV158C_506-507,,IRON,Alleghany,Longdale Furnace,2,Drive I-64W to Exit 35 Turn Left and drive under the overpass.   Turn Left onto Rte 770 Go appx 0.5 mi to right hand turn.   Drive apx 0.75 miles and park. Site is downhill from road ~0.5 mi.,C,-79.676,37.804,Unnamed tributary,Simpson Creek from the junction of Route 776 and U. S. Route 60 upstream including all named and unnamed tributaries.,James-Upper,2,1.3061
396,9/29/2006 8:00 PM,,MRV210C_502,,ZINC,Shenandoah,Conicville,0," From US 81, take state road 263 west for about 4 miles, to state road 716.  Take 716 north for about 3.5 miles to 711.  Take 711 east for about 1/3 mile, there will be a driveway on the right and a house visible from the road.  The site is about 500 feet behind the house, heading slightly uphill.",C,-78.684,38.812,Unnamed tributary,"North Fork Shenandoah River from its confluence with the Shenandoah River to its headwaters, unless otherwise designated in this chapter.",Potomac-Shenandoah,0,1.1730
397,11/8/2006 7:00 PM,10/18/2017 8:00 PM,MRV158C_201-202,,IRON,Alleghany,Longdale Furnace,10,Take I-64W to Exit 35. Turn R onto 60 then L onto 777. Park at the NFS turnabout and hike N along the ephemeral stream that drains past the turnabout.,B,-79.672,37.839,Unnamed tributary,Simpson Creek from the junction of Route 776 and U. S. Route 60 upstream including all named and unnamed tributaries.,James-Upper,2,2.5439
398,11/8/2006 7:00 PM,10/22/2017 8:00 PM,MRV158C_504,,IRON,Alleghany,Longdale Furnace,1,"  Take I-64W to Exit 35 Turn R onto 60 After ~0.5 mi, Park at pull off on N side of road with NFS gate",C,-79.671,37.827,Unnamed tributary,Simpson Creek from the junction of Route 776 and U. S. Route 60 upstream including all named and unnamed tributaries.,James-Upper,2,1.2342
399,3/23/2003 7:00 PM,,MRV132C_926,,IRON,Amherst,Buffalo Ridge,1,"    Take Route 29 South to Amherst and take 60 East.  Turn right onto Route 600 (south).  Turn left onto Route 622 (East).  Turn right onto Route 601/Snake Rd.  Site is along first turn to the left, 30 ft from road.",C,-78.895,37.541,Unnamed tributary,James River and its tributaries from a point 0.25 mile above the confluence of the Tye River to Six Mile Bridge.,James-Middle,3,0.4795
400,3/23/2003 7:00 PM,6/21/2022 8:00 PM,MRV132C_902-903,,IRON,Amherst,Buffalo Ridge,5,Take Route 29 South to Amherst and take Route 60 East.  Turn right onto Route 600 (South).  Travel past the intersection with 823.  Park where road turns sharp to the right and an old logging road goes to the left.  The prospect is right to the left of that intersection about 20 ft and the adits are about 50 yds South of the prospect near stream.,B,-78.912,37.53,Unnamed tributary,James River and its tributaries from a point 0.25 mile above the confluence of the Tye River to Six Mile Bridge.,James-Middle,5,1.4823
401,3/13/2003 7:00 PM,6/20/2022 8:00 PM,MRV132C_802-804,,IRON,Amherst,Buffalo Ridge,3," From intersection of 657 and 622, go S/E on 622.  Turn left onto Walkers Ford Lane.  Go 1/5 of mile.  Sites on top of hill to the right.  ",B,-78.938,37.505,Unnamed tributary,James River and its tributaries from a point 0.25 mile above the confluence of the Tye River to Six Mile Bridge.,James-Middle,2,0.9802
402,3/15/2003 7:00 PM,8/31/2022 8:00 PM,MRV105B_213-215,,MANGANESE,Appomattox,Stonewall,3,"    From town of Beckham, go South on 605, turn right on 623 and drive for 1/2 mile.  Site is on left side of road and tailings piles will be barely visible. Small quarry nearest to road, about 150 yds.",C,-78.927,37.487,Unnamed tributary,James River and its tributaries from a point 0.25 mile above the confluence of the Tye River to Six Mile Bridge.,James-Middle,2,2.3596
